title,description,subjects,subject_places,subject_people,subject_times,first_publish_date,author_keys,latest_revision,clean_description,cluster
Oedipus Trilogy,"Oedipus the King is Sophocles' legendary rendition of the myth of the great king Oedipus, perhaps the best known of all of the Greek Tragedies.When an oracle foretells that the young prince Oedipus will grow up to murder his father he is cast out of the kingdom by the king who hopes by doing so that he will avoid his fate. Oedipus grows up and many years later, not knowing his own identity, or the identity of his father, meets him at a crossroad where they argue and the king is killed. The rest of the tale pivots around the unraveling of this tangled family history and the appalling discovery of, not only patricide, but Oedipus' subsequent incest in unwittingly marrying his own mother.","['Drama', 'Fiction', 'Folklore', 'Sophocles']",,,,,['OL11149A'],5,oedipus the king is sophocles legendary rendition of the myth of the great king oedipus perhaps the best known of all of the greek tragedieswhen an oracle foretells that the young prince oedipus will grow up to murder his father he is cast out of the kingdom by the king who hopes by doing so that he will avoid his fate oedipus grows up and many years later not knowing his own identity or the identity of his father meets him at a crossroad where they argue and the king is killed the rest of the tale pivots around the unraveling of this tangled family history and the appalling discovery of not only patricide but oedipus subsequent incest in unwittingly marrying his own mother,7
A Spell for Chameleon,"Xanth was the enchanted land where magic ruled - where every citizen had a special spell only he could cast. It was a land of centaurs, dragons and basiliks.But poor Bink alone had no magic. And unless he got some - and fast - he would be exiled.

The Good Magician Humfrey was convined that Bink did indeed have magic, magic as powerful as any possessed by the King or Good Magician Humfrey himself. But no one could fathom the nature of Bink's very special magic. Bink was in despair. This was worse than having no magic at all...and he would still be exiled.","['Xanth (Imaginary place)', 'Fiction', 'Fantasy', 'Magic', 'Xanth (imaginary place), fiction', 'Fiction, fantasy, general']",,['Bink'],,,['OL19905A'],16,xanth was the enchanted land where magic ruled where every citizen had a special spell only he could cast it was a land of centaurs dragons and basiliksbut poor bink alone had no magic and unless he got some and fast he would be exiled the good magician humfrey was convined that bink did indeed have magic magic as powerful as any possessed by the king or good magician humfrey himself but no one could fathom the nature of binks very special magic bink was in despair this was worse than having no magic at alland he would still be exiled,14
The Blackwing Puzzle,"The Hardy boys set out to investigate strange happenings at the Blackwing Mansion, which appears to be haunted, and in the process help their father uncover a ring of thieves.","['Mystery and detective stories', ""Children's fiction"", 'Hardy boys (fictitious characters), fiction', 'Detective and mystery stories', 'Juvenile literature', 'series:HardyBoys', 'collectionID:HBMS2']",,,,,['OL21219A'],8,the hardy boys set out to investigate strange happenings at the blackwing mansion which appears to be haunted and in the process help their father uncover a ring of thieves,6
"Poems, Series 1","From the book:The verses of Emily Dickinson belong emphatically to what Emerson long since called ""the Poetry of the Portfolio,"" - something produced absolutely without the thought of publication, and solely by way of expression of the writer's own mind. Such verse must inevitably forfeit whatever advantage lies in the discipline of public criticism and the enforced conformity to accepted ways. On the other hand, it may often gain something through the habit of freedom and the unconventional utterance of daring thoughts. In the case of the present author, there was absolutely no choice in the matter; she must write thus, or not at all. A recluse by temperament and habit, literally spending years without setting her foot beyond the doorstep, and many more years during which her walks were strictly limited to her father's grounds, she habitually concealed her mind, like her person, from all but a very few friends; and it was with great difficulty that she was persuaded to print, during her lifetime, three or four poems. Yet she wrote verses in great abundance; and though brought curiously indifferent to all conventional rules, had yet a rigorous literary standard of her own, and often altered a word many times to suit an ear which had its own tenacious fastidiousness.","['Classic Literature', 'Fiction']",,,,,['OL19512A'],4,from the bookthe verses of emily dickinson belong emphatically to what emerson long since called the poetry of the portfolio something produced absolutely without the thought of publication and solely by way of expression of the writers own mind such verse must inevitably forfeit whatever advantage lies in the discipline of public criticism and the enforced conformity to accepted ways on the other hand it may often gain something through the habit of freedom and the unconventional utterance of daring thoughts in the case of the present author there was absolutely no choice in the matter she must write thus or not at all a recluse by temperament and habit literally spending years without setting her foot beyond the doorstep and many more years during which her walks were strictly limited to her fathers grounds she habitually concealed her mind like her person from all but a very few friends and it was with great difficulty that she was persuaded to print during her lifetime three or four poems yet she wrote verses in great abundance and though brought curiously indifferent to all conventional rules had yet a rigorous literary standard of her own and often altered a word many times to suit an ear which had its own tenacious fastidiousness,18
Purrfectly Purrfect,"Describes life at a school for cats, where the students learn to be ""purrfect.""","['Fiction', 'Humorous stories', 'Schools', 'Cats', ""Children's fiction"", 'Cats, fiction', 'Schools, fiction']",,,,,['OL31850A'],9,describes life at a school for cats where the students learn to be purrfect,7
The special prisoner,"""The Special Prisoner takes it title from the designation the Japanese government gave U.S. airmen held prisoner during World War II - an indication of the severity with which these foreign devils responsible for bombing Japanese cities were to be treated. John Quincy Watson was a skilled young pilot flying B-29s over Japan when he was shot down and taken prisoner in 1945.

Fifty years later, now a prominent religious figure nearing retirement, Bishop Watson believes he has long since overcome the excruciating memories of his months as a POW. But a chance sighting of the now equally elderly Japanese officer who repeatedly tortured him instantly transports the Bishop back to that unendurable time, and he finds himself overwhelmed by an uncontrollable desire for vengeance.

The result for Watson is both a vivid return to the horrors of his past and the triggering of a new series of events that are also horrific - and tragic."" ""The Special Prisoner delves into the complicated issue of war guilt and forgiveness, starkly portrayed in the characters of an officer from a country that refuses to admit any wrongdoing and a clergyman who is committed to a belief that to forgive is divine.""--BOOK JACKET.","['Prisoners of war', 'Bishops in fiction', 'Prisoners of war in fiction', 'United States. Army', 'Bishops', 'Ex-prisoners of war', 'World War, 1939-1945 in fiction', 'Revenge', 'Fiction', 'United States', 'United States. in fiction', 'World War, 1939-1945', 'Revenge in fiction', 'Ex-prisoners of war in fiction', 'Veterans', 'Japanese Prisoners and prisons', 'Forgiveness', 'Large type books', 'Fiction, historical, general', 'World war, 1939-1945, fiction']","['United States', 'Japan']",,,,['OL39308A'],11,the special prisoner takes it title from the designation the japanese government gave us airmen held prisoner during world war ii an indication of the severity with which these foreign devils responsible for bombing japanese cities were to be treated john quincy watson was a skilled young pilot flying b29s over japan when he was shot down and taken prisoner in 1945 fifty years later now a prominent religious figure nearing retirement bishop watson believes he has long since overcome the excruciating memories of his months as a pow but a chance sighting of the now equally elderly japanese officer who repeatedly tortured him instantly transports the bishop back to that unendurable time and he finds himself overwhelmed by an uncontrollable desire for vengeance the result for watson is both a vivid return to the horrors of his past and the triggering of a new series of events that are also horrific and tragic the special prisoner delves into the complicated issue of war guilt and forgiveness starkly portrayed in the characters of an officer from a country that refuses to admit any wrongdoing and a clergyman who is committed to a belief that to forgive is divinebook jacket,16
The man whose mother was a pirate,A man gives up his office job and runs off to sea with his old mother who used to be a pirate.,"['Mothers and sons', 'Sea stories', 'Juvenile fiction', 'Fiction', 'Pirates', ""Children's stories"", ""Children's stories, New Zealand"", 'Picture books for children', ""Children's fiction"", 'Pirates, fiction', 'Mothers and sons, fiction']",,,,,['OL31800A'],9,a man gives up his office job and runs off to sea with his old mother who used to be a pirate,7
Warm and cold,"A poetic depiction of what keeps you warm when it is cold, from good clothes and steam to the sound of talk and the love that you keep with you wherever you go.","['American poetry', 'Drama (dramatic works by one author)']",,,,,['OL19697A'],5,a poetic depiction of what keeps you warm when it is cold from good clothes and steam to the sound of talk and the love that you keep with you wherever you go,14
The American nation,"A textbook for United States history from the Civil War to the present, with maps, charts, activities, study questions, and review chapters.","['History', 'Juvenile literature', 'Study and teaching', 'Textbooks', 'Study and teaching (Middle school)', 'Study and teaching (Secondary)', 'Secondary Education']",['United States'],,['1865-'],,['OL21378A'],15,a textbook for united states history from the civil war to the present with maps charts activities study questions and review chapters,16
Truman and Pendergast,"No portion of the political career of Harry S. Truman was more fraught with drama than his relationship with Thomas J. Pendergast. In one of their earliest meetings, the two men were momentarily at odds after Truman, who was then presiding judge of Jackson County, gave a $400,000 road contract to a construction company in South Dakota, and Pendergast, the boss of Kansas City, wasn't very happy about it. He had someone else in mind for the contract.

In 1934, after considering fourteen other men, Pendergast sponsored Truman for the Senate. Although Truman had often cooperated with Pendergast on patronage issues, he had never involved himself in the illegalities that would eventually destroy the Pendergast machine. When the Boss was sent to Leavenworth for tax evasion in 1939, Truman was astonished.

Because of the stigma of Truman's Pendergast connection, the 1940 Democratic primary was the tightest election in his entire political career. He won by fewer than eight thousand votes. In Truman and Pendergast, Robert H. Ferrell presents Truman's struggle to keep his Senate seat without the aid of Pendergast and despite Stark's enlistment of Roosevelt against him. Ferrell shows that Truman won the election in his typical fashion - going directly to the people, speaking honestly and like one of them.","['20th century', 'Friends and associates', 'Large type books', 'Politics and government']",['Kansas City (Mo.)'],"['Harry S. Truman (1884-1972)', 'Tom Pendergast (1870-1945)']",['20th century'],,['OL19849A'],6,no portion of the political career of harry s truman was more fraught with drama than his relationship with thomas j pendergast in one of their earliest meetings the two men were momentarily at odds after truman who was then presiding judge of jackson county gave a 400000 road contract to a construction company in south dakota and pendergast the boss of kansas city wasnt very happy about it he had someone else in mind for the contract in 1934 after considering fourteen other men pendergast sponsored truman for the senate although truman had often cooperated with pendergast on patronage issues he had never involved himself in the illegalities that would eventually destroy the pendergast machine when the boss was sent to leavenworth for tax evasion in 1939 truman was astonished because of the stigma of trumans pendergast connection the 1940 democratic primary was the tightest election in his entire political career he won by fewer than eight thousand votes in truman and pendergast robert h ferrell presents trumans struggle to keep his senate seat without the aid of pendergast and despite starks enlistment of roosevelt against him ferrell shows that truman won the election in his typical fashion going directly to the people speaking honestly and like one of them,14
The Will and the Deed,"> The reading of the will of legendary diva Antonia Byrne turns out to hold some unpleasant surprises for her nearest and dearest: one way or another, none of them get quite what they are expecting.
>And when a quirk of Fate maroons the mourners in a tiny snowbound mountain village for Christmas, it is inevitable that feelings will be far from festive.
>But what no one could predict is that one of their number has lethally sinister intentions and when the final curtain falls, it turns out to be Antonia herself who has had the last laugh ...",['Detective and mystery stories'],,,['1950s'],,['OL19465A'],4,the reading of the will of legendary diva antonia byrne turns out to hold some unpleasant surprises for her nearest and dearest one way or another none of them get quite what they are expecting and when a quirk of fate maroons the mourners in a tiny snowbound mountain village for christmas it is inevitable that feelings will be far from festive but what no one could predict is that one of their number has lethally sinister intentions and when the final curtain falls it turns out to be antonia herself who has had the last laugh,14
Right to bear arms,Considers opposing interpretations of the Constitution's Second Amendment and the right to bear arms and presents arguments for and against gun control. Also discusses the history of violent crime in the United States.,"['Gun control', 'Law and legislation', 'Constitutional law', 'Billeting', 'Soldiers', 'Juvenile literature', 'Firearms', 'Firearms -- Law and legislation -- United States', 'Gun control -- United States', 'Soldiers -- United States -- Billeting', 'Constitutional law -- United States', 'Firearms, law and legislation', 'Constitutional law, united states']",['United States'],,,,['OL28443A'],11,considers opposing interpretations of the constitutions second amendment and the right to bear arms and presents arguments for and against gun control also discusses the history of violent crime in the united states,0
Three Wise Women,"Three wise women follow a bright star to find a very special newborn baby in a stable, where each of them is able in her own way to give the child a gift.","['Nativity', 'Juvenile fiction', 'Fiction', 'Nativity of Jesus Christ', ""Children's fiction"", 'Women, fiction', 'Jesus christ, fiction']",,['Jesus Christ'],,,['OL31883A'],9,three wise women follow a bright star to find a very special newborn baby in a stable where each of them is able in her own way to give the child a gift,14
Wild Man Island,"Andy is in a world of trouble.On the last day of a sea kayaking trip in southeast Alaska, fourteen-year-old Andy Galloway paddles away from his group to visit the nearby site where his archaeologist father died trying to solve the mystery of the first Americans. A sudden, violent storm blows Andy's kayak off course and washes him ashore on Admiralty Island, an immense wilderness known as the Fortress of the Bears. Struggling to survive, Andy encounters a dog running with wolves and then a man toting a stone-tipped spear. The wild man vanishes into the forest, but the dog reappears and leads Andy to a cave filled with Stone Age tools and weapons. Running for his life, Andy retreats deep into the cave, where danger, suspense, and discovery await.","['Fiction', 'Survival in fiction', 'Archaeology in fiction', 'Archaeology', 'Dogs in fiction', 'Survival', 'Kayaks and kayaking', 'Kayaks and kayaking in fiction', 'Caves in fiction', 'Wilderness survival', 'Newfoundland dog in fiction', 'Wilderness survival in fiction', 'Caves', 'Dogs', 'Newfoundland dog', 'Juvenile Fiction', 'Kayaking', 'Juvenile fiction', ""Children's fiction"", 'Wilderness survival, fiction', 'Archaeology, fiction', 'Caves, fiction', 'Dogs, fiction', 'Alaska, fiction', 'Canoes and canoeing, fiction', 'Survival, fiction', 'Literature and fiction, juvenile']",['Admiralty Island (Alaska)'],,,,['OL21690A'],10,andy is in a world of troubleon the last day of a sea kayaking trip in southeast alaska fourteenyearold andy galloway paddles away from his group to visit the nearby site where his archaeologist father died trying to solve the mystery of the first americans a sudden violent storm blows andys kayak off course and washes him ashore on admiralty island an immense wilderness known as the fortress of the bears struggling to survive andy encounters a dog running with wolves and then a man toting a stonetipped spear the wild man vanishes into the forest but the dog reappears and leads andy to a cave filled with stone age tools and weapons running for his life andy retreats deep into the cave where danger suspense and discovery await,6
Die Blechtrommel,"*Die Blechtrommel* ist ein Roman von Günter Grass. Er erschien 1959 als Auftakt der Danziger Trilogie und gehört zu den meistgelesenen Romanen der deutschen Nachkriegsliteratur. Der Roman lässt sich als historischer Roman, Zeitroman, Schelmenroman und Entwicklungsroman charakterisieren. 

----------


Set against the backcloth of National Socialism, [this novel] is told in the first person by the central figure, Oskar Matzerath, tracing Oskar's history, beginning with his grandparents, and finishing at his thirtieth birthday (1954). Oskar is a dwarf, whose passion is his tin drum, which exercises some of the power of the Pied Piper's pipe, and he possesses a voice which is capable of breaking glass of all kinds at considerable range. The magic of Oskar's voice is matched by his ability to arrest his growth, but here, as elsewhere, the book moves on two planes, for the adult burgher world believes that his failure to develop is due to a fall. The grotesque figure of Oskar is accompanied by a grotesque series of happenings throughout his life, especially the eccentric deaths of those around him ... Oskar is finally condemned for a murder he has not committed and placed in a mental hospital. Oskar's detachment from the normal world enables him to comment upon it, and the book presents a dry and ironic review of the history of Oskar's times from the standpoint of Danzig, which was his home [as well as the author's].-The Oxford Companion to German Literature.","['Fiction', 'History', 'German Historical fiction', 'Dwarfs', 'German Political fiction', 'Political fiction', '1945-1955', 'Translations into English', 'German fiction', 'Historical fiction', 'German language materials', 'Duits', 'German poetry', 'Letterkunde', 'German literature', 'German drama', 'LITERATURE', 'NOVEL', 'Germany, fiction', 'Poland, fiction', 'Fiction, historical', 'People with disabilities, fiction', 'Fiction, historical, general', 'Novela política', 'Historia', 'Ficción', 'Novela histórica', 'Novela', 'Romans, nouvelles', 'Histoire', 'Enanos', 'Roman allemand', 'Kleinwüchsiger', 'Romance Alemao', 'Translations into Spanish', 'Novela histórica alemana', 'Traducciones al español', 'Germanic literature']","['Germany', 'Allemagne', 'Danzig', 'Region', 'Alemania']",,"['1945-1955', '1945-', '20th century', '20e siècle']",,['OL28731A'],24,die blechtrommel ist ein roman von günter grass er erschien 1959 als auftakt der danziger trilogie und gehört zu den meistgelesenen romanen der deutschen nachkriegsliteratur der roman lässt sich als historischer roman zeitroman schelmenroman und entwicklungsroman charakterisieren set against the backcloth of national socialism this novel is told in the first person by the central figure oskar matzerath tracing oskars history beginning with his grandparents and finishing at his thirtieth birthday 1954 oskar is a dwarf whose passion is his tin drum which exercises some of the power of the pied pipers pipe and he possesses a voice which is capable of breaking glass of all kinds at considerable range the magic of oskars voice is matched by his ability to arrest his growth but here as elsewhere the book moves on two planes for the adult burgher world believes that his failure to develop is due to a fall the grotesque figure of oskar is accompanied by a grotesque series of happenings throughout his life especially the eccentric deaths of those around him oskar is finally condemned for a murder he has not committed and placed in a mental hospital oskars detachment from the normal world enables him to comment upon it and the book presents a dry and ironic review of the history of oskars times from the standpoint of danzig which was his home as well as the authorsthe oxford companion to german literature,3
Bearing an Hourglass,"When life seems pointless to Norton, he accepts the position of Incarnation of Time. With the other incarnations—Death, Fate, War, and Nature already distracting him, Satan springs a cunning trap. Science fiction/fantasy legend Piers Anthony combines a gripping plot with a serious and thought-providing study of good and evil. Bearing an Hourglass is a fascinating, richly imagined tale that reaches beyond the normal science fiction/fantasy realm.","['Incarnation of Time', 'Fantasy', 'Fiction, fantasy, general']",,['Norton'],,,['OL19905A'],8,when life seems pointless to norton he accepts the position of incarnation of time with the other incarnationsdeath fate war and nature already distracting him satan springs a cunning trap science fictionfantasy legend piers anthony combines a gripping plot with a serious and thoughtproviding study of good and evil bearing an hourglass is a fascinating richly imagined tale that reaches beyond the normal science fictionfantasy realm,4
The Last Avant-Garde,"A landmark work of cultural history--now in paperback--by one of our best critics and chroniclers: the story of how four young poets reinvented literature and turned New York into the art capital of the world. 

Greenwich Village, New York, circa 1951. Every night, at a rundown tavern with a magnificent bar called the Cedar Tavern, an extraordinary group or painters, writers, poets, and hangers-on arrive to drink, argue, tell jokes, fight, start affairs, and bang out a powerful new aesthetic. Their style is playful, irreverent, tradition-shattering, and brilliant. Out of these friendships, and these conversations, will come the works of art and poetry that will define New York City as the capital of world culture--abstract expressionism and the New York School of Poetry. 

A richly detailed portrait of one of the great movements in American arts and letters, *The Last Avant-Garde* covers the years 1948-1966 and focuses on four fast friends -- the poets Frank O'Hara, James Schuyler, John Ashbery, and Kenneth Koch. Lehman brings to vivid life the extraordinary creative ferment of the time and place, the relationship of great friendship to art, and the powerful influence that a group of visual artisits--especially Jane Freilicher, Larry Rivers, and Fairfield Porter--had on the literary efforts of the New York School. 

*The Last Avant-Garde* is both a definitive and lively view of a quintessentially American aesthetic and an exploration of the dynamics of creativity.","['History', 'American poetry', 'Intellectual life', 'City and town life in literature', 'History and criticism', 'Avant-garde (Aesthetics)', 'American Experimental poetry', 'Poets, biography', 'Homes and haunts', 'American Poets', 'New York Times reviewed', 'Poésie américaine', 'Histoire et critique', 'Poètes américains', 'Résidences et lieux familiers', 'Poésie expérimentale américaine', 'Vie urbaine dans la littérature', 'American poetry, history and criticism, 20th century', 'New york (n.y.), poetry']",['New York'],['New York School of Poets'],['20th century'],,['OL28258A'],15,a landmark work of cultural historynow in paperbackby one of our best critics and chroniclers the story of how four young poets reinvented literature and turned new york into the art capital of the world greenwich village new york circa 1951 every night at a rundown tavern with a magnificent bar called the cedar tavern an extraordinary group or painters writers poets and hangerson arrive to drink argue tell jokes fight start affairs and bang out a powerful new aesthetic their style is playful irreverent traditionshattering and brilliant out of these friendships and these conversations will come the works of art and poetry that will define new york city as the capital of world cultureabstract expressionism and the new york school of poetry a richly detailed portrait of one of the great movements in american arts and letters the last avantgarde covers the years 19481966 and focuses on four fast friends the poets frank ohara james schuyler john ashbery and kenneth koch lehman brings to vivid life the extraordinary creative ferment of the time and place the relationship of great friendship to art and the powerful influence that a group of visual artisitsespecially jane freilicher larry rivers and fairfield porterhad on the literary efforts of the new york school the last avantgarde is both a definitive and lively view of a quintessentially american aesthetic and an exploration of the dynamics of creativity,18
The railway detective,"London 1851. With the opening of the Great Exhibition at hand, interest is mounting in the engineering triumphs of the railways, but not everyone feels like celebrating...In an audacious attack, the London to Birmingham mail train is robbed and derailed, causing many casualties. Planned with military precision, this crime proves a challenge to Detective Inspector Robert Colbeck who fights to untangle a web of murder, blackmail and destruction.As Colbeck closes in on the criminal masterminds, events take an unexpected turn when the beautiful Madeleine, daughter of the injured train driver, becomes a pawn in the criminals' game. With time running out, good and evil, new and old, battle against each other. But will the long arm of the law have speed on its side?Full of historical detail, The Railway Detective is an action-packed dip into murky 1850s London.","['Mystery', 'Train robberies', 'Railway mail service', 'Historical Fiction', 'Fiction', 'Railroad travel', 'Fiction, mystery & detective, general', 'England, fiction']","['Great Britain', 'London (England)']",,,,['OL23301A'],7,london 1851 with the opening of the great exhibition at hand interest is mounting in the engineering triumphs of the railways but not everyone feels like celebratingin an audacious attack the london to birmingham mail train is robbed and derailed causing many casualties planned with military precision this crime proves a challenge to detective inspector robert colbeck who fights to untangle a web of murder blackmail and destructionas colbeck closes in on the criminal masterminds events take an unexpected turn when the beautiful madeleine daughter of the injured train driver becomes a pawn in the criminals game with time running out good and evil new and old battle against each other but will the long arm of the law have speed on its sidefull of historical detail the railway detective is an actionpacked dip into murky 1850s london,6
Jinheṃ maiṃ jānatā hūm̐,"Reminiscences of a folklorist from Rajasthan, India, about his friends and associates.","['Biography', 'Folklorists', 'Friends and associates']","['India', 'Rajasthan']",['Mahendra Bhānāvata (1937-)'],,,['OL16559A'],5,reminiscences of a folklorist from rajasthan india about his friends and associates,14
Violet & Claire,"This is the story of two girls, racing through space like shadow and light. A photo negative, together they make the perfect image of a girl. Violet is the dark one, dressed in forever black, dreaming Technicolor dreams of spinning the world into her very own silver screen creation. Claire is like a real-life Tinker Bell, radiating love and light, dressing herself in wings of gauze and glitter, writing poems to keep away the darkness. The setting is L.A., a city as beautiful as it is dangerous, and within this landscape of beauty and pain Violet and Claire vow to make their own movie. Together they will show the world the way they want it to be, and maybe then the world will become that place--a place where people no longer hate or fight or want to hurt. But when desire and ambition threaten to rip a seamless friendship apart, only one thing can make two halves whole again--the power of love.Francesca Lia Block's latest novel is a beautifully told story that boldly combines the world of film with the lyrical graceful language of poetry. The voices of two friends--one dark, one light--combine to tell a larger tale of love and loss, and the strength that comes from believing in dreams.","['Fiction', 'Motion pictures', 'Authorship', 'Friendship', 'Juvenile Fiction', ""Children's fiction"", 'Friendship, fiction', 'Authorship, fiction', 'Los angeles (calif.), fiction', 'Motion pictures, fiction']",['Los Angeles (Calif.)'],,,,['OL23891A'],9,this is the story of two girls racing through space like shadow and light a photo negative together they make the perfect image of a girl violet is the dark one dressed in forever black dreaming technicolor dreams of spinning the world into her very own silver screen creation claire is like a reallife tinker bell radiating love and light dressing herself in wings of gauze and glitter writing poems to keep away the darkness the setting is la a city as beautiful as it is dangerous and within this landscape of beauty and pain violet and claire vow to make their own movie together they will show the world the way they want it to be and maybe then the world will become that placea place where people no longer hate or fight or want to hurt but when desire and ambition threaten to rip a seamless friendship apart only one thing can make two halves whole againthe power of lovefrancesca lia blocks latest novel is a beautifully told story that boldly combines the world of film with the lyrical graceful language of poetry the voices of two friendsone dark one lightcombine to tell a larger tale of love and loss and the strength that comes from believing in dreams,3
Goodbye doesn't mean forever,"Jory Delaney has always had lots of money. But there's one thing she knows she cannot buy--and that's her best friend Melissa's life. Although Melissa's leukemia is in remission, it's hard for both girls to hold on to the possibility of a very bright future. When Melissa's health begins to deteriorate, Jory watches her friend's courageous battle and is overwhelmed by a sense of loss. Distanced from her parents, Jory grows closer to Melissa's mother and older brother, Michael, as they give each other untold strength in the face of tragedy. As she grapples with the unfairness of Melissa's imminenet death, can Jory find a way to turn her anger into the hope and inspiration that Melissa wanted to leave behind? (Description from thriftbooks.com).","['Fiction', 'Teenagers and death', 'Leukemia', ""Children's fiction"", 'Friendship, fiction']",,,,,['OL23920A'],11,jory delaney has always had lots of money but theres one thing she knows she cannot buyand thats her best friend melissas life although melissas leukemia is in remission its hard for both girls to hold on to the possibility of a very bright future when melissas health begins to deteriorate jory watches her friends courageous battle and is overwhelmed by a sense of loss distanced from her parents jory grows closer to melissas mother and older brother michael as they give each other untold strength in the face of tragedy as she grapples with the unfairness of melissas imminenet death can jory find a way to turn her anger into the hope and inspiration that melissa wanted to leave behind description from thriftbookscom,6
Harry S. Truman,"Biography of president Harry S. Truman, discussing his life, political career, and presidency.","['Biography', 'Childhood and youth', 'Family', 'Farm life', 'History', 'Politics and government', 'Presidents', 'Sources', 'Truman, Harry S., 1884-1972', 'United States', 'Presidents, united states', 'United states, politics and government, 1945-1953', 'BIOGRAPHY & AUTOBIOGRAPHY', 'Historical']","['Missouri', 'United States']","['Harry S. Truman (1884-1972)', 'Truman family']",['1945-1953'],,['OL19849A'],11,biography of president harry s truman discussing his life political career and presidency,7
Digger,"Ideas and plot gimmicks explode like land mines in this innovative thriller about a Vietnam vet who recreates the tunnels where so many of his buddies died under the streets of his Illinois hometown. From this unique perspective, John Fortunato watches the start of another war--a struggle for the control of a local labor union. Mix Dashiell Hammett's Red Harvest with The X-Files (Fortunato has paranormal powers of perception when he's underground)--and you'll get some idea of how original this concept is, especially in the current thriller market.","['Fiction', 'Photographers', 'Tunnels', 'Veterans', 'Vietnam War, 1961-1975', 'Vietnamese Conflict, 1961-1975', 'Fiction, thrillers, general', 'Illinois, fiction']",['Illinois'],,,,['OL34398A'],9,ideas and plot gimmicks explode like land mines in this innovative thriller about a vietnam vet who recreates the tunnels where so many of his buddies died under the streets of his illinois hometown from this unique perspective john fortunato watches the start of another wara struggle for the control of a local labor union mix dashiell hammetts red harvest with the xfiles fortunato has paranormal powers of perception when hes undergroundand youll get some idea of how original this concept is especially in the current thriller market,6
The Season,"""When unimaginable wealth combines with unlimited leisure time on an island barely three times the size of New York's Central Park, human foibles and desires, lust and greed, passion and avarice, become magnified and intensified. Like laboratory rats fed growth hormones, the 9800 Palm Beach residents - 87 percent of whom are millionaires - exhibit the most outlandish extremes of their breed.""--BOOK JACKET.

""To tell the story, Kessler follows four Palm Beachers through the season. These four characters - the reigning queen of Palm Beach society, the night manager of Palm Beach's trendiest bar, a gay ""walker"" who escorts wealthy women to balls, and a thirty-six-year-old gorgeous blonde who says she ""can't find a guy in Palm Beach"" - know practically everyone on the island and tell what goes on behind the scenes.""--BOOK JACKET.

""Interweaving the yarns of these figures with the lifestyle, history, scandals, lore, and rituals of a unique island of excess, The Season creates a narrative that no novelist could dream up.""--BOOK JACKET.","['Rich people', 'Social life and customs', 'Biography', 'Palm beach (fla.)', 'Elite (social sciences)', 'Fiction, general']","['Florida', 'Palm Beach', 'Palm Beach (Fla.)']",,,,['OL21353A'],11,when unimaginable wealth combines with unlimited leisure time on an island barely three times the size of new yorks central park human foibles and desires lust and greed passion and avarice become magnified and intensified like laboratory rats fed growth hormones the 9800 palm beach residents 87 percent of whom are millionaires exhibit the most outlandish extremes of their breedbook jacket to tell the story kessler follows four palm beachers through the season these four characters the reigning queen of palm beach society the night manager of palm beachs trendiest bar a gay walker who escorts wealthy women to balls and a thirtysixyearold gorgeous blonde who says she cant find a guy in palm beach know practically everyone on the island and tell what goes on behind the scenesbook jacket interweaving the yarns of these figures with the lifestyle history scandals lore and rituals of a unique island of excess the season creates a narrative that no novelist could dream upbook jacket,14
The shaping of North America from earliest times to 1763,A history of North America concentrating on European interests and rivalries and their influence on the development of the New World.,"['Discovery and exploration', 'Juvenile literature', 'History', 'North america, history', 'America, discovery and exploration, juvenile literature', 'United states, history, colonial period, ca. 1600-1775']","['United States', 'America']",,"['Colonial period, ca. 1600-1775']",,['OL34221A'],12,a history of north america concentrating on european interests and rivalries and their influence on the development of the new world,3
Attack of the Jack-o'-lanterns,"Drew and her friend Walker, desperate to get revenge against stuck-up Tabby and Lee for a nasty Halloween joke, come up with a plan designed to scare the wits out of the snobby duo, but Drew and Walker end up getting a fright themselves when their trick goes a little too well.","['Fiction', 'Halloween in fiction', 'Jack-o-lanterns in fiction', 'Jack-o-lanterns', 'Horror tales', 'Halloween', 'Horror stories', 'Fear', 'Juvenile fiction', 'Halloween, fiction', ""Children's fiction"", 'collectionID:goosebumps1', 'Practical jokes', 'Revenge', 'Horror fiction', 'Ghost stories', 'series:Goosebumps']",,,,,['OL35524A'],20,drew and her friend walker desperate to get revenge against stuckup tabby and lee for a nasty halloween joke come up with a plan designed to scare the wits out of the snobby duo but drew and walker end up getting a fright themselves when their trick goes a little too well,6
Goosebumps Triple Header Book 2,"It's the story of a fortune-teller and a magic spell so dangerous it will make you fear the future...
It's the story of two rotting Egyptian mummies with faces meant to scare you to death...
It's the story of a strange school filled with students who have monstrous appetites...","['collectionID:goosebumps5', ""Children's fiction"", 'Horror stories', 'series:Goosebumps']",,,,,['OL35524A'],9,its the story of a fortuneteller and a magic spell so dangerous it will make you fear the future its the story of two rotting egyptian mummies with faces meant to scare you to death its the story of a strange school filled with students who have monstrous appetites,14
